日付,カテゴリ,小項目,金額,場所,商品名・メモ
2025-11-29,経費,tetta,1496,ＧＯＯＧＬＥ＊ＧＳＵＩＴＥ　ＹＯＵＭＯＴＴ．,ＧＯＯＧＬＥ＊ＧＳＵＩＴＥ　ＹＯＵＭＯＴＴ．
2025-12-01,ローン,ローン住居,110000,イオン銀行,ローン
2025-12-01,レジャー,趣味,3300,楽天銀行,アッティーボ（ジム）
2025-12-01,保険,保険その他,5382,哲太楽天銀行,ネオファースト生命
2025-12-01,保険,哲太メットライフ,5797,奈月楽天銀行,哲太メットライフ
2025-12-01,保険,奈月メットライフ,8467,楽天カード,奈月メットライフ
2025-12-01,通信費,通信,4136,楽天カード,ビックローブ
2025-12-01,通信費,ケータイ,3500,楽天カード,奈月スマホ
2025-12-01,通信費,ケータイ,3500,哲太カード,哲太スマホ
2025-12-01,レジャー,レジャーその他,1490,Netflix,Netflix
2025-12-01,経費,tetta,3986,tetta社用ケータイ,哲太社用ケータイ
2025-12-01,経費,tetta,1200,て,哲太経費
2025-12-01,経費,tetta,1496,Googleアプリ,哲太経費
2025-12-01,経費,natsuki,130,Applecombill,ギガ
2025-12-01,レジャー,趣味,9000,楽天銀行,Lava(奈月)
2025-12-08,経費,tetta,1080,Apple,Apple Music　住友カード
2025-12-16,経費,natsuki,1990,法人クレカ,GoogleWorkspace
2025-12-16,経費,natsuki,20000,法人クレカ,claude
2025-12-19,経費,tetta,400,ＡＰＰＬＥ ＣＯＭ ＢＩＬＬ,？
2025-12-19,経費,tetta,200,ＡＰＰＬＥ ＣＯＭ ＢＩＬＬ,？
2025-12-29,経費,tetta,600,amazon,アマプラ　サブスク　住友カード
2025-12-29,経費,tetta,1496,ＧＯＯＧＬＥ＊ＧＳＵＩＴＥ　ＹＯＵＭＯＴＴ．,ＧＯＯＧＬＥ＊ＧＳＵＩＴＥ　ＹＯＵＭＯＴＴ．
